"TicketID","Resolution"
"1393259","User confirmed the issue has been resolved. Hence resolving this ticket."
"1376358","account unlocked"
"1373460","After changing the compatibility mode , mwatch site is working fine."
"1372955","Resolving ticket with user confirmation."
"1370022","As advised by Jeff Citrix Receiver has been re-installed with regard to the .dll error pop-out. Also confirmed from user the pop-up error window didn&#039;t occur anytime later."
"1357699","server issue resolved"
"1354954","User confirmed the issue has been resolved. Hence closing this ticket."
"1352449","not an issue. ch 5.29.2014 - this is not a defect....system captures audit of verification of items when updating to new status...in this case, GBS captured that the RGA/DAG exists for the request and is valid...this is part of the process of changing request status to MARK REQUEST READY FOR REVIEW"
"1351821","This issue has been resolved. Hence resolving ticket."
"1349691","Salim updated the entity end date to acceptable range"
"1346021","Reached user, provided the new password. User confirmed that the issue is resolved, hence resolving the ticket"
"1330823","Kevin Zhao confirmed that account is stable and confirmed to close this ticket."
"1329755","Guide the user to owa.fordfoundation.org to change his password. User has successfully changed the password.  With the permission of the user resolving the ticket"
"1323034","Informed user to select Ford-IT profile and proceed with 2 factor authentication which worked good without any issues.  Hence resolving the ticket with user confirmation."
"1317561","We have enabled the account as well as monitored the account status for any issues. Everything seems to be fine now. Hence resolving this ticket."
"1316926","Files restored."
"1314150","Reached user &amp; suggested the user to access his desktop &amp; outlook. User confirmed that his desktop &amp; Outlook behavior is good now. With the permission of the user resolving the ticket"
"1311326","Guided user to reset password via mypassword.fordfound.org website. Also password reset done for GalaxeQA2 and GalaxeQA8, since mypassword locked out. User is able to access the account now. Hence resolving this ticket."
"1303546","manually send the email.  the issue was due to timeout error on SMTP"
"1303271","Received confirmation mail from Kevin that Anthony has created a Enterprise account which resolved the issue."
"1295205","As requested ADM_GALAXEDEV1 has been unlocked and confirmed from sathish."
"1295050","Guided Mitali to reset her AD password and confirmed to be able to change."
"1291519","Sathish from GalaxeSolutions confirmed that they are able to access VPN using GalaxeQA1 &amp; GalaxeQA2. Hence resolving this ticket with user confirmation."
"1291178","The necessary information has been provided and hence resolving this ticket with user confirmation."
"1285756","patches updated and then restarted the machine . confirmed with the user and then resolving the case . machine working properly after update."
"1285010","Changes has been done by Tom in the backend for SMTP server and GBS should receive the mail notifications. If issue persists please contact GSD."
"1280614","update the password of the PLAY service account used for this feature"
"1276393","AD account fftriunfo has been unlocked and confirmed from Oliver Triunfo."
"1269396","user confirmed that the issue is fixed, hence resolving ticket."
"1268538","user confirmed that the issue is resolved, hence resolving the ticket"
"1266123","Fordpeople has been updated."
"1260827","Resolving ticket as per user confirmation. She will be reporting incase of any further issues."
"1260805","The issue is not resolved but closing this duplicate ticket as assigned another ticket 1314908 for Datacenter team to check and work further with Anthony Economou."
"1259354","Issue resolved, hence resolving ticket with user confirmation."
"1246452","Adjusted the sleep settings to Mitali&#039;s PC in order to restore prolonged  connectivity."
"1246361","Not a problem, by design"
"1245604","As checked in GBS CCL this is a duplicate ticket, as a reference ticket already exists for Dev in progress. CCL # 882 and MWatch ticke # 1092706."
"1240847","As requested, moved the server FFSMQ3302 to medium enforcement and revert back to high enforcement after installation. User is fine with the server now. Hence resolving this ticket with user confirmation."
"1228978","Visited Mitali, who confirmed that there has been no reoccurrence  of this issue since the weekend."
"1215150","User confirmed that the issue is resolved, hence resolving the ticket"
"1215107","ffnyc-52-220 server is working fine.Issue resolved."
"1212264","Rel27.1.0"
"1208691","Removed the workstation from the domain locally--as it was not registering in Ford SCM, then  rebooted before restoring the PC back to the domain. I will now place into the proper OU in Ford SCM."
"1205502","Resolving ticket with user confirmation."
"1196410","data fix"
"1195174","server is working fine."
"1187471","Coordinated with Infrastructure team and increased the size of the GP server. Hence resolving the ticket."
"1187423","inernal task, to migrate workflow with old version dll to new version"
"1186186","GALAXEDEV4 account is active now.User confirmed"
"1186136","galaxedev6 is working fine now"
"1185890","Galaxedev2 account working fine now."
"1175488","As per the update from user going forward and resolving the ticket"
"1174679","this is browser behavior"
"1174273","Re-inputed the KMS client key for Windows Server 2008 R2 Standard YC6KT-GKW9T-YTKYR-T4X34-R7VHC and initiated activation sequence.  Activation successful"
"1174072","As per the update from bet comes o know the issue is resolved, hence resolving the ticket"
"1167572","Resolving ticket with user confirmation"
"1167445","Guided user to how to resolve the service request ticket by validating. Hence closing the ticket."
"1167063","User mentioned to resolve the ticket and she will reach GlobalServiceDesk if she have issues. Hence resolving the ticket with user confirmation."
"1166974","Office of Secretary mailbox’ password has been set to “Never expire”"
"1166363","User confirmed that issue resolved, hence resolving ticket."
"1165948","The user stated that she has not been getting locked out. Closing ticket, however, will be following up with user to ensure she is no longer getting locked out."
"1163243","q.sun is already local administrators group of nycws-psd2"
"1158761","vpn issue resolved"
"1146849","Dawn Clark confirmed that the issue has been resolved. Hence resolving the ticket with Dawn&#039;s confirmation mail."
"1138359","Unlocked the account and he is able to login the system without any issues."
"1138167","Lou confirmed he was able to resolve this issue by reconnect the loose cable that was generating the issue."
"1136163","This ticket is duplicate ticket of 1119584. Hence closing this ticket."
"1135070","Modified the ntfs permissions for the files below the share root"
"1124568","Remote into the user machine and checked the proxy settings in outlook and restarted the outlook. Mails are syncing without any issues now. Hence resolving the ticket  with user confirmation."
"1123390","Found that the account is locked out in FordSCM hence unlocked the account, User confirmed that the he is able to log in. Hence resolving the ticket"
"1123380","Found that the account is locked out in FordSCM, hence unlocked the account. User confirmed that the issue is resolved, Hence resolving the ticket"
"1121100","Remote into the user machine and found, outlook ribbon is missing. Checked and found 2.4 folder is created in regedit. Removed the folder from regedit after taking the backup. User is able to access the ribbon options in outlook. Hence resolving the ticket with user confirmation."
"1120791","Checked with Henry Kwok and shared the right password with user. User is able to access the email account now. Hence resolving the ticket with user confirmation."
"1115905","As per the update from Oliver going forward and resolving the ticket"
"1112261","As requested unlocked the user account ADM_GalaxeDev1 and checked. User is able to access the account."
"1102160","User confirmed issue has been resolved. closing the ticket."
"1102112","As requested, password reset done for GBS_Test account by verifying the PIN. User is able to access the account now. Hence resolving the ticket."
"1098930","As per the update from Henry comes to know that the issue is resolved, hence resolving the ticket"
"1096882","Unlocked account, hence resolving ticket"
"1096592","clean up the workflow left by the workflow restart"
"1096444","the amount means to be Net Amount"
"1096353","Unlocked the user account ADM_GBS and informed to user. User is able access the account. Hence resolving the ticket with user confirmation."
"1096349","Unlocked the user account GBSIIQA_Buildadmin and informed to user. User is able access the account. Hence resolving the ticket with user confirmation."
"1095958","migrate the TDL data to new version of TDL"
"1095317","acccount unlocked"
"1093202","Found that the account is locked out in SCM, Hence unlocked the account. User confirmed that he is able to log in. Hence resolving the ticket"
"1093188","Remote into the user machine and checked, found webex session was expired. Hence resolving the ticket."
"1092820","Maged unlocked account, informed user the same, and user confirmed that everything is working fine. Hence resolving ticket."
"1087504","As mentioned by Kevin this request has been resolved."
"1084358","Received call from Chris today to reset the account password for codered@fordfound.org and confirmed to be working fine."
"1082696","Account has been enabled in cyberark. Hence resolving this ticket."
"1080891","user was able to login.Issue resolved."
"1078745","The browser version has been updated as per Kevin&#039;s request."
"1078725","As requested, the workstations are provided the RDP access. Hence resolving the ticket with user confirmation."
"1075539","user confirmed that he was able to send it to  other domains."
"1074213","Changed the policy and user is able to execute the file without any issues. Hence resolving this ticket."
"1073122","User confirmed that the issue is fixed. Hence resolving ticket."
"1068943","Unlocked the account. Hence resolving this ticket with user confirmation."
"1065091","internal development task"
"1062896","User confirmed that the issue is resolved, hence resolving the ticket"
"1059690","user confirmed issue has been resolved"
"1059591","User is able to RDP servers from CyberArk now. Hence resolving the ticket with user confirmation."
"1059374","Reset the password and user was able to login without any issues. Hence resolving the ticket with user confirmation."
"1055032","As requested unlocked the account GBSIIQA_BuildAdmin and SathishKumar confirmed he is able to access. No further lockout issue has been reported for this account. So resolved."
"1045538","Refer to ticket 1075857 for system reimage."
"1044986","As requested, Firefox latest version and default IE9 installed on all the Student workstations at B level training room. Hence resolving the ticket with user confirmation."
"1042213","Shared information from my troubleshooting efforts with Henry that will allow him to switch the browser to standard--instead of compatibility mode."
"1041186","We got the confirmation from Jitendra that everything seems to be working fine. Hence resolving this ticket."
"1039965","Provided loaner69 to use for testing."
"1039931","Reset the password and informed Kavitha to change the password. Also requested to update the password on all mobile devices to avoid account lockout issue."
"1039912","user&#039;s IE was not in compatibility mode"
"1035364","Reached user &amp; he confirmed that he changed his password and also said he is able to login to Galaxeqa8. hence resolving the ticket"
"1033718","Rel27.1.0"
"1032999","Jerome hard reset PC and confirm with Mitali she was able to RDP into her workstation."
"1032871","Guided Henry to change the password with the requirements. Also requested to update the password in his laptop while working from home to avoid account lockout issue."
"1032490","Got confirmation mail from user that &quot;Anthony&quot; resolved this issue. Hence closing ticket."
"1027659","Powered on user&#039;s machine and Mitali is able to connect to her machine hence resolving the ticket."
"1025184","duplicate with M1025203"
"1024193","Got confirmation from Sathish Kumar over phone the account GBSIIQA_BuildAdmin has been unlocked and working fine."
"1023448","Got confirmation from Kevin the issue is resolved and confirmed to be working."
"1019047","Unlocked user account and confirmed the same with user . Hence resolving the ticket"
"1016904","BSD cleared this TDL task item.  this orphan task is caused by the workflow service interruption back in Dec 2013"
"1016646","issue was resolved by TOM.. user confirmed server/application is working fine."
"1016445","data correction on carryover and budget that caused by consequences of reverting an accidently entered decrease back in Dec 2013"
"1016351","User confirmed that he is able to log in to the account, hence resolving the ticket"
"1014505","not an issue."
"1014205","User confirmed that he is able to access ADP e-time with out any issues, hence resolving the ticket"
"1013996","Reached user &amp; she said that she is able to access GBS without any issues after downgrade the IE into version 9. Hence resolving the ticket"
"1013944","issue resolved"
"1013701","User confirmed that he is able to log in, hence resolving the ticket"
"1011808","The BIT9 issue is resolved by Anthony and got confirmation mail from Qinghua Sun and Kevin that its working fine now."
"1006751","Rel26.4.1"
"1006477","wrongly reported, user withdrew this incident"
"1006249","emailed password to user"
"1003655","User confirmed that the issue is resolved, hence resolving the ticket"
"1003340","Account unlocked, hence closing ticket."
"1003208","Unlocked the AD account and checked, user is able to login now. Hence closing the ticket with user confirmation."
"1001813","Removed IE11 and IE10 from Henry&#039;s desktop, then rebooted the system to ensure the reversion to IE9 was completed."
"1001806","I was forced to use the startup repair tool to resolve this issue."
"1001115","By design.  A change request is logged for this."
"1000907","On two occasions, I visited Oliver to remove his PC from the domain, then restore it. I informed Oliver that I would keep the ticket open until day&#039;s end to ensure that there is no recurrence."
"999066","Rel27.1.0"
"997011","User confirmed that he is not going to use MWatch in his laptop hence resolving the ticket with user confirmation."
"995889","Took remote session. As per fix updated in the microsoft forum for this outlook 2013- Free/busy issue. We have uninstalled the problematic security patches for outlook and recreated the user profile. Hence it is working fine now and resolving this ticket with user confirmation."
"995834","account unlocked and user was able to login.. issue resolved. Hence closing the ticket"
"995530","Unlocked the AD account and checked, user is able to login now. Hence closing the ticket with user confirmation."
"993607","Unlocked the AD account and user is able to login the workstation successfully. Hence resolving this ticket."
"993263","OPS correct the office structure to prevent such request from showing under President&#039;s TDL.  Change request logged to prevent user from sending Request to VP Preliminary Review without any grant amount"
"988938","Walked Kevin through the process of modifying his boot settings in order for the PC to recognize the additional RAM. Kevin states that his system&#039;s performance has now improved."
"988200","user confirmed issue resolved"
"987927","Unlocked user&#039;s account and confirmed the same with user . Hence resolving the ticket with user confirmation."
"986618","We have provided the requested information to the user. Hence resolving this ticket with user confirmation."
"986264","Did browser optimization and deleted the old cache and saved passwords from IE. Issue resolved. Hence resolving the ticket with user confirmation."
"985537","Resolved the issue by connecting the phone directly to the ethernet port and connecting the PC to the phone."
"983073","Already informed Canon vendor about this.Luz Reyes is looking into the issue.Resolving this ticket for now."
"982760","Got confirmation from user the account anagelli@galaxesolutions.com has been unlocked and confirmed to be working."
"982232","As per the update from Kevin Zhao,this ticket is duplicate to already existing ticket #980178,hence resolving this ticket."
"979821","Account GBSIIQA_BuildAdmin has been unlocked in accordance to the request and confirmed to be working."
"977031","OPS update the term of the grant maker causing this issue"
"969942","Unlocked the GBSIIQA_Buildadmin account and checked. User is able to access the account now. Hence closing the ticket with user confirmation."
"968790","Got confirmation from Ashok that account has been unlocked and confirmed to be working fine."
"964530","Efrain cleared jam on Canon, informed Print Shop about it.  Also sent email to Mitali to call Print Shop for any and all issues for Canon."
"964223","Rel26.4.1"
"964171","Copied and pasted text from email into a new message and sent out."
"962914","The VPN issue has been resolved by infrastructure team last night. Hence resolving this ticket with reference to the confirmation received from kevin zhao."
"962776","Got confirmation mail from Lijo jose the CISCO VPN connection is working fine now. Hence resolved."
"957962","In accordance to the request account has been unlocked and confirmed from Ashok he is able to access now."
"957815","Further to the confirmation mail from Lijo Jose this ticket is resolved."
"952976","Got confirmation mail from oliver that he is able to access the servers ffsmq0401 and ffsmq0402 now."
"952960","Account ADM_CRM has been unlocked as per the request."
"952684","Server up time is 11 days, event logs do not show indication of events that day. Nor does VM. will have to investigate if issue occurs again."
"952462","Tony has provided assistance for the Consultant to work with the RSA tokens. If the issue still persists please contact GSD to re-open this ticket."
"950124","Rel27.1.0"
"947914","This was just a test."
"947679","User confirmed that the issue is resolved, hence resolving the ticket"
"945573","removed the extra data.  a change request will be logged if it happens again"
"945510","Got confirmation mail from Mitali the Cyber-Ark has been provided by Maged."
"943036","This ticket was kept under observation. Got confirmation from Mitali the issue was resolved."
"942560","Mobile number 917-734-8269 has been re-assigned to Oliver’s iPhone 5s."
"942527","OPS update the entity expiration date to a date in 2100.  System does not support date beyond 2100"
"942431","unplugged and replugged ethernet cable, phone is working properly and performed a test call"
"942343","unlocked user account and confirmed the same with user . Hence resolving the ticket with user confirmation."
"942232","User confirmed that he is able to log in now, Hence resolving the ticket"
"942225","ch 1.6.2014 - can be found using the ALL list view     [AN 01072014] PRIs approved manually, Deleted the TDL records using data scripts"
"935286","this is not for GBS production. update the configuration file on the PLAY environment."
"935280","Got confirmation mail from Mitali the ADP portal time sheet is working fine."
"935115","[KZ20140102] although the screen shows the ApprovalPeriodType is FQ1, it is only the default value, the database register the ApprovalPeriodType is January [KZ20140102] user updates the ApprovalPeriodType to January"
"931082","Unlocked account, it was locked since 12/25"
"931081","Unlocked the AD account GBSIIQA_BuildAdmin and informed user. Hence closing the ticket with user confirmation."
"930920","Server was turned off, went into VMWare console and powered on the server."
"929695","Got confirmation mail from Qinghua to disregard this request and to close this ticket."
"929624","All the accounts are logged in successfully. Hence resolving this ticket."
"929552","this is not for GBS production.  testing ticket"
"929235","User was able to login after changing the DNS settings, working fine without any issues.  Hence resolving the ticket with user confirmation."
"922841","User confirmed the issue has been resolved. Hence closing this ticket."
"921421","As per the request account GBSIIQA_BuildAdmin has been unlocked."
"909101","User confirmed that the issue is resolved, hence resolving the ticket"
"892167","Ticket kept under observation and the lock out issue is not repeated. Hence resolving the ticket with user confirmation."
"891700","User confirmed that the issue is resolved, hence resolving the ticket"
"890761","Unlocked George&#039;s account and also checked for the MyPassword link this might be because the desktop might be temporarily out of domain. Once restart the machine and then try to unlock the account using  MyPassword link should work."
"887751","Got confirmation mail from Mitali that Maged assisted her and she is now able to access Cyberark."
"884696","Deleted all temp files, %temp%, disk cleanup done and enhanced virtual memory.  Kevin confirmed to resolve the ticket hence with user confirmation resolving the ticket."
"884562","User confirmed that the issue is resolved, hence resolving the ticket"
"884014","Unlocked user account and confirmed the same with user. Hence resolving the ticket with user confirmation."
"870052","User confirmed that the issue is resolved, hence resolving the ticket"
"865765","User confirmed that the issue is resolved, hence resolved the ticket"
"863864","Maged unlocked the account. Hence resolving this ticket."
"863431","Unlocked user account and confirmed the same with user. Hence resolving the ticket with user confirmation."
"856023","Still we are investigating with concerned team about this software installation problem. But as per user request we are closing this ticket. Please get back to us if you need any further assistance."
"855918","Installed Office 2010 and SEP12 onto laptop, client will return laptop on Monday for more updates."
"850534","Closing the ticket as duplicate since another ticket is opened &#039;892167&#039; for the same and coordinating with Maged to get the issue fixed."
"848726","As checked with Bet we don&#039;t use CCU anymore and the CMU is configured as a part of CRM. Confirmed as installed and configured on users workstation."
"848533","User confirmed that the issue is resolved, hence resolving the ticket"
"847267","Anthony confirmed the issue got resolved. Hence closing this ticket."
"846953","Uninstalled Java 6 R 29, installed Java 6 R 41."
"846925","Java version was updated to 6 u 29 and it was working fine. confirmed."
"846798","add data as required"
"846792","update the data"
"841556","Confirmed from Maged that the Cyberark is now working fine with password change and also as per the comment from the user. Confirming to have resolved the issue since no more account unlock has been done during the past days."
"826593","User confirmed that the issue is resolved, Hence resolving the issue"
"823410","All three VMs were configured in accordance to specifications."
"807198","testing ticket"
"798347","Created excpetion on Symantec for Ezupload"
"747485","Rel26.2.0"
"740859","release in Rel26.2.0"
"719479","Release into Production on Rel26.3.0"
"646886","Released into Production on Rel26.2.0"
"1503666","Application Team as successfully completed the activity and got conf. Hence we are closing the incident .    From: GlobalServiceDesk [mailto:GlobalServiceDesk@fordfoundation.org]   Sent: Thursday, July 24, 2014 6:43 PM  To: Krishnaraj Selvaraj; IMSShared_WindowsTeam  Subject: FW: 1503666 - Bet Mendoza - Application Issue - Pending with User    FYI    Regards,  Gokul  Ford Foundation Global Service Desk  Email ID: GlobalServiceDesk@fordfoundation.org   Contact No: +1 212-573-4777"
"1494863","The server FFNYC-52-517 has been turned off as per TOM.    Please find attached email for your reference"
"1490170","The server FFNYC0550 able to connect via cyber ark.     Please let me know if you have any issues."
"1472639","From: Vinoth Balakrishnan   Sent: Friday, July 18, 2014 2:12 AM  To: Mendoza, Bet  Cc: Fertig, George; IMSShared_WindowsTeam; GlobalServiceDesk; Markover, Wayne; Sundar, Flint  Subject: RE: 1472639 - Bet Mendoza - Mailbox related issue - New    Hi Bet ,    We have raised change request to proceed adding the URL to trusted sites via group policy and we will implement it immediately once it get approved .Hence we are closing the incident .    Change ID # 2923    Best Regards  Vinoth B  Windows Operations  +9144-33711118  E-Mail       : Vinoth_balakrishnan@mindtree.com   Follow us: www.mindtree.com/social    Welcome to possible"
"1469574","user able to login, hence closing the ticket"
"1434246","User confirmed that the issue is resolved, hence resolving the ticket"
"1430962","Added both servers to the SMTP allow list.  Note one servers name was listed wrong in the request it was ffazu3504 and not ffazu0504 as indicated in ticket."
"1414651","Reverted bit9 enforcement level as per the mail from Lou. Hence resolving ticket. Incase of further assistance, please contact Globalservicedesk."
"1393294","Access provided in cyber ark by Maged, User confirmed able to login"
"1391093","As per today&#039;s schedule we have taken reboot of below servers.FFSMQ0401 and FFSMQ0402"
"1387857","uthentication enabled on the FFSMQ3209 server to access the server remotely . Also got the user confirmation to resolve the incident ."
"1387584","Changed authentication user should login now."
"1384552","Opened the port 445 between the Azure and Datapipe servers"
"1380158","From: Mohan Kamalakannan   Sent: Sunday, June 8, 2014 8:27 AM  To: Zhao, Kevin  Cc: Fertig, George; GlobalServiceDesk; IMSShared_WindowsTeam  Subject: RE: PROD Workflow Event Viewer    Hi Kevin,    we have received disk threshold alert on the server (ffnyc-52-535).Hence we have archived the logs till 4th June 2014 on the below mention path.    On ffnyc-52-535 (E:\C drive bakcup\EventLogs\Event log archived till 4th June 2014)"
"1376377","We have successfully configured page file on E drive (ffsmq0209). Post reboot checked services, its good. Now C drive have 29 % free space."
"1370054","The security layer on the RDP-Tcp properties has been changed to \\\&quot;negotiate\\\&quot;"
"1354914","user confirmed the issue is resolved"
"1332791","Kevin Zhao confirmed that issues are resolved after the server reboot. The CRM application is working fine."
"1324856","Resolving this ticket as this is a duplicate ticket of 1320080"
"1317841","Anthony had sent a detailed email on the change attempted in network firewall (Emergency Change) and Oliver suggested GSD to resolve the ticket."
"1314908","Anthony Economou has worked with Azure support. User confirmed that the issue is resolved now."
"1314655","Page file issue."
"1285418","Needed to adjust the IPSEC tunnels from Avanade to NJ and the firewall rules for datapipe to allow server visibility from the SQL servers to Exchange 2010.  This was completed."
"1499279","user confirmed the speed is back to normal, no action is taken to improve the speed.  Performed speed testing and the result is same as GBS speed benchmark"
"1144679","the report was switched from final report (to be approved by PO) to intrim report"
"1141365","User updated the document manually.  Duplicated GNL documents were found in the system and GBS team deleted the one not in use"
"1121089","OPS (Salim) instructed Teresa the way to proceed using GBS feature"
"1103937","duplicate with m1091401"
"1490003","re-processed the workflow"
"1489323","re-processed the workflow"
"1484592","Azman authority update"
"1469975","update data as requested"
"1469947","update data as requested"
"1469422","update the grant status to Closed as requested.  the related information including reports, report requirements, and GSR are not updated as user specified"
"1469351","resolved by walking through with user to cleanup temproary internet files.  SOP emailed to GSD"
"1466388","workflow restarted"
"1455380","due to legacy cost center data.  resolved after restart and re-process workflow"
"1449569","update the status of previous decrease, which occurred in FY2011"
"1441966","data fix provided.  long term fix is part of CCL931"
"1435046","provide data as request"
"1434568","computer performance clearing"
"1434083","the modifificaiton was approved by user without intervention"
"1431216","same issue as m1441966"
"1431115","update data as requested"
"1417227","resolved by restarting workflow service"
"1417139","update data as requested."
"1414232","Kevin visited user to fix this issue."
"1409013","As per the update from Cary,the user was granted authority to the funding pool. Hence resolving ticket."
"1405791","restart workflow service"
"1405280","User confirmed the issue is related to excel filter and hence resolving this ticket with user confirmation."
"1403788","Resolving the ticket with the mail confirmation from Kevin"
"1397187","provide report as requested"
"1397184","provided report as requested"
"1392981","update data as requested.  its long term fix is logged"
"1381620","update the approver as needed; the Approver was not updated before submitting.  will investigate if validation is needed"
"1376303","update the data as requested"
"1373642","update GNL milestonedate as requested"
"1373459","As per the confirmation from George Fertig, resolving this issue. Also got confirmation from user that the issue is resolved."
"1372880","restart workflow for the TDL item, it failed creating next TDL item due to database connection interruption on Jun 3rd"
"1370739","update data as requested"
"1369951","due to database connection interruption, resolved by restarting workflow"
"1367155","due to database connection issue.  data fix provided"
"1357910","re-open the grants for user to proceed modification approval as requested"
"1354840","by design, no action needed"
"1354440","update data per user request"
"1349523","due to special character.  Irene replaced the special character then it works fine"
"1334978","retrieve the old version of the document so Grace can continue her work"
"1334725","update the configuration file to allow abnormally big contacts list"
"1329754","duplicate with 1334725"
"1329725","update data as user requested"
"1322747","update data as user requested"
"1322527","duplicate with mWatchID1322513"
"1322513","Clear the extra TDL item submitted"
"1320071","The necessary changes has been taken care by Thomas earley and FordGBS team. Hence resolving this ticket."
"1319426","update data and send related email as requested"
"1317541","provided katherine the needed information"
"1303517","showed user the way to tag reports for existing VGF files"
"1295408","duplicated with mWatchID1303517"
"1295226","Cannot replicate the issue"
"1285003","duplicate with mWatch1282979 / CCL991"
"1282979","Rel27.1.0"
"1268465","helped user on the updating.  a long term fix is logged CCL985"
"1266077","send needed email.  permanent fix logged"
"1265926","by default the document is locked, user needs to unlock the document before editing and saving"
"1265918","user cancelled the request"
"1263501","GP does not return the processedtime back to staging table, update the processedtime manually to resolve this issue"
"1245709","update data as requested"
"1245392","due to DW job delay"
"1238208","data fix to remove the extra TDL item"
"1238201","duplicated with CCL765 / mWatch969757"
"1233649","data fix to remove extra TDL item"
"1231991","data fix to remove the extra TDL item"
"1224238","Suzie cannot replicate the error"
"1219292","data fix to update the FinProcessDate in staging database"
"1215157","Got confirmation from Cary to resolve this ticket. Hence resolving ticket."
"1214983","Got confirmation from Qinghua Sun that this issue has been resolved. Hence resolving ticket."
"1212181","data fix to add the mandatory field (report period end date)"
"1205629","restart the workflow"
